ts_event,symbol,best_level_ofi,integrated_ofi,multi_level_ofi
2024-10-21 12:16:54.862528040+00:00,AAPL,0,5.974146695368075,27
2024-10-21 12:16:54.862652964+00:00,AAPL,0,726.9738571822642,2870
2024-10-21 12:17:02.456505763+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:17:02.456518211+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:17:02.692703742+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:17:02.695735412+00:00,AAPL,0,737.066303229147,2395
2024-10-21 12:17:02.695762734+00:00,AAPL,0,-283.6169658150388,-768
2024-10-21 12:17:02.743941560+00:00,AAPL,0,-68.47557719226168,-200
2024-10-21 12:17:02.743954174+00:00,AAPL,0,996.2177150274962,2168
2024-10-21 12:17:04.308725875+00:00,AAPL,0,-746.7815572363517,-2870
2024-10-21 12:17:04.308776780+00:00,AAPL,0,726.9738571822642,2870
2024-10-21 12:17:06.048294911+00:00,AAPL,0,-1016.0254150815837,-2168
2024-10-21 12:17:06.048308319+00:00,AAPL,0,996.2177150274962,2168
2024-10-21 12:17:07.403868087+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:17:07.458672320+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:17:07.458684918+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:17:10.980069944+00:00,AAPL,0,-1016.0254150815837,-2168
2024-10-21 12:17:10.980083268+00:00,AAPL,0,996.2177150274962,2168
2024-10-21 12:17:16.046891679+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:17:16.101320234+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:17:16.101332500+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:17:18.814227520+00:00,AAPL,10,677.6183595678913,2209
2024-10-21 12:17:20.656823195+00:00,AAPL,0,-672.39827997959,-2058
2024-10-21 12:17:20.662283454+00:00,AAPL,400,441.4747444113666,1796
2024-10-21 12:17:20.662744252+00:00,AAPL,-400,-461.2824444654541,-1796
2024-10-21 12:17:20.719761250+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:17:20.762539880+00:00,AAPL,0,652.5905799255025,2058
2024-10-21 12:17:21.078904005+00:00,AAPL,0,48.667877138174205,200
2024-10-21 12:17:21.133609901+00:00,AAPL,0,-68.47557719226168,-200
2024-10-21 12:17:21.133623109+00:00,AAPL,0,107.23960430339216,400
2024-10-21 12:17:21.840211165+00:00,AAPL,-100,-829.4865541948008,-3396
2024-10-21 12:17:21.840224418+00:00,AAPL,0,734.5881817137425,2896
2024-10-21 12:17:22.072304747+00:00,AAPL,0,-789.0864013711797,-3096
2024-10-21 12:17:22.085707892+00:00,AAPL,100,844.369373744063,3596
2024-10-21 12:17:24.840366131+00:00,AAPL,0,-68.47557719226168,-200
2024-10-21 12:17:24.840795392+00:00,AAPL,0,-14.760522771512695,-28
2024-10-21 12:17:24.840821231+00:00,AAPL,0,-746.7815572363517,-2870
2024-10-21 12:17:24.896015668+00:00,AAPL,0,48.667877138174205,200
2024-10-21 12:17:24.896030774+00:00,AAPL,0,924.8909712240618,3598
2024-10-21 12:17:26.219727754+00:00,AAPL,0,-1.7038082239132226,28
2024-10-21 12:17:26.219824269+00:00,AAPL,0,533.3730192838169,1370
2024-10-21 12:17:26.286945437+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:17:30.761645371+00:00,AAPL,0,-557.8639394843566,-1397
2024-10-21 12:17:30.761657680+00:00,AAPL,0,538.0562394302691,1397
2024-10-21 12:17:30.762940179+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:17:30.764592400+00:00,AAPL,0,-553.1807193379044,-1370
2024-10-21 12:17:30.764692359+00:00,AAPL,0,268.85757462844043,870
2024-10-21 12:17:33.378283593+00:00,AAPL,0,-730.970007144808,-2258
2024-10-21 12:17:33.378297030+00:00,AAPL,0,652.5905799255025,2058
2024-10-21 12:17:33.764809990+00:00,AAPL,0,498.3332772336237,1398
2024-10-21 12:17:33.764834502+00:00,AAPL,0,-244.0534010431978,-869
2024-10-21 12:17:33.822822391+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:17:33.822835795+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:17:35.461400679+00:00,AAPL,0,-558.2108446803901,-1399
2024-10-21 12:17:35.461412055+00:00,AAPL,0,538.4031446263026,1399
2024-10-21 12:17:35.469991264+00:00,AAPL,0,-553.1807193379044,-1370
2024-10-21 12:17:35.470045707+00:00,AAPL,0,268.85757462844043,870
2024-10-21 12:17:37.663629357+00:00,AAPL,0,48.667877138174205,200
